                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1089,                 1.0557,                 1.5349,                0.71129,                0.69705,                0.70485,                0.44086,                 1.2616,                 1.0068,                 1.7286,               0.006733,               0.006733,               0.006733
                     36,                 1.1043,                 1.0334,                 1.5278,                0.80673,                0.69752,                0.75436,                0.47279,                 1.2385,                0.94869,                 1.7006,               0.006634,               0.006634,               0.006634
                     37,                 1.0989,                 1.0197,                 1.5234,                0.77076,                0.67932,                0.74269,                0.47164,                 1.2355,                0.95945,                 1.6983,               0.006535,               0.006535,               0.006535
                     38,                 1.0873,                 1.0086,                  1.514,                0.82137,                0.68941,                0.76018,                0.47247,                 1.2404,                 0.9309,                 1.7026,               0.006436,               0.006436,               0.006436
                     39,                 1.0943,                 1.0008,                 1.5127,                0.78253,                0.69986,                0.74733,                 0.4728,                  1.227,                0.91233,                 1.6943,               0.006337,               0.006337,               0.006337
                     40,                 1.0836,                0.98816,                 1.5034,                0.76741,                0.69539,                0.73549,                0.46656,                 1.2261,                0.91986,                 1.6851,               0.006238,               0.006238,               0.006238
                     41,                 1.0776,                0.99055,                 1.5042,                0.79917,                0.68609,                0.74315,                0.47169,                 1.2297,                0.93552,                 1.6892,               0.006139,               0.006139,               0.006139
                     42,                 1.0699,                0.97921,                 1.5012,                0.75675,                 0.7026,                0.72604,                0.45589,                 1.2296,                0.93837,                 1.6946,                0.00604,                0.00604,                0.00604
                     43,                 1.0708,                0.96983,                 1.4937,                0.80702,                0.70418,                0.75688,                0.48132,                 1.2233,                0.88898,                 1.6736,               0.005941,               0.005941,               0.005941
                     44,                 1.0573,                 0.9526,                 1.4869,                0.78511,                0.71245,                0.75063,                0.47401,                 1.2233,                 0.9209,                 1.6828,               0.005842,               0.005842,               0.005842
